urun_adi,urun_turu,son_fiyat,ortalama_artis_hizi,tahmin_2025
LIMON  YENI (MAYER),MEYVE,8.772916666666667,4.965440903099339,11.708334583333334
LIMON ENTER,MEYVE,8.65,38.686320144815106,11.54429
LIMON LAMAS,MEYVE,13.667483660130719,47.21437559949663,18.24062369281046
MALTA,MEYVE,42.15506329113924,70.97761654122402,56.26014746835443
MANDALİNA,MEYVE,25.811764705882354,74.41372174908408,34.44838117647059
MANDALİNA SATSUMA,MEYVE,19.81159420289855,74.9220460169793,26.440553623188407
MANGO,İTHAL,49.13398692810458,77.69024458310682,65.57421895424837
MANTAR,SEBZE,69.23529411764706,86.86582997318855,92.40142352941176
MANTAR (İSTİRİDYE),SEBZE,98.91176470588235,84.49633134962983,132.00764117647057
MARUL,SEBZE,17.390522875816995,94.21627452315586,23.20939183006536
MARUL AYSBERG,SEBZE,19.81699346405229,89.67091888654494,26.447759477124183
MARUL KIVIRCIK,SEBZE,19.04248366013072,70.34659624731259,25.41409869281046
MARUL LOLOROSSO,SEBZE,19.462418300653596,81.64515779079467,25.97454346405229
MUZ  ,MEYVE,42.01470588235294,74.15795413584141,56.07282647058824
MUZ  ,İTHAL,60.51307189542484,63.73290133328594,80.76074575163399
MUŞMULA,MEYVE,26.237373737373737,29.88798879887989,35.01639898989899
NAR,MEYVE,33.35232067510549,47.93113553512034,44.51200717299579
NEKTARIN  BEYAZ,MEYVE,38.97391304347826,98.41777162942044,52.01458434782609
NEKTARIN KIRMIZI,MEYVE,42.712025316455694,65.84327766608897,57.00346898734177
PANCAR,SEBZE,13.23937908496732,75.5217086186581,17.669275326797386
PATATES  CALMA,SEBZE,16.12908496732026,46.71994108752762,21.52587679738562
PATATES TAZE(YIKANMIŞ),SEBZE,11.409609120521173,77.19751667907482,15.227264332247557
PATLICAN  UZUN,SEBZE,25.23202614379085,58.49004725408435,33.67466209150327
PATLICAN TOPAN,SEBZE,26.673202614379086,62.031975282028945,35.59805620915033
PAZI,SEBZE,15.27124183006536,86.97863544750739,20.38099934640523
PIRASA,SEBZE,17.913398692810457,71.51978726526846,23.907221895424836
PORTAKAL  ,MEYVE,22.176470588235293,101.85518313814919,29.596717647058824
PORTAKAL   FINIKE,MEYVE,17.93421052631579,53.79030962911659,23.934997368421055
PORTAKAL  SIKMALIK,MEYVE,11.986394557823129,28.91465828510876,15.997042176870748
PORTAKAL  VALENCIA,MEYVE,17.599462365591396,44.33475115187093,23.488242473118277
PORTAKAL WASHINGTON,MEYVE,20.701716738197426,77.66266320199665,27.628511158798286
PİTAHAYA,İTHAL,48.670212765957444,52.31100993782887,64.95526595744681
SALATALIK   KORNİŞON,SEBZE,29.15625,90.98090597903325,38.91193125
SALATALIK  KASA,SEBZE,16.496742671009773,103.02458403028439,22.016552768729643
SALATALIK  SİLOR,SEBZE,26.808823529411764,74.77101257889225,35.77905588235294
SARIMSAK  ,İTHAL,117.70769230769231,100.46683796996291,157.09268615384616
SARIMSAK  KURU,SEBZE,97.16503267973856,115.96657906274191,129.6764526143791
SARIMSAK  TAZE,SEBZE,36.81481481481482,61.240166487839886,49.13305185185185
SEMIZ OTU,SEBZE,14.202614379084967,37.94590841422071,18.954809150326795
SOGAN   KIRMIZI,SEBZE,19.06514657980456,197.86097556022867,25.444344625407165
SOGAN   KURU,SEBZE,12.617263843648209,159.44700267158242,16.8390003257329
SOGAN   TAZE,SEBZE,20.0814332247557,87.90363326275495,26.800680781758956
TURP  FINDIK,SEBZE,10.622448979591837,96.42764359259309,14.176720408163266
TURP  KIRMIZI,SEBZE,16.524509803921568,96.90999440943726,22.053610784313726
TURP  SIYAH,SEBZE,9.799319727891156,46.329147054762046,13.078172108843537
TURP BEYAZ,SEBZE,4.815217391304348,5.250653361843661,6.426389130434782
VISNE,MEYVE,44.911764705882355,71.36017284743079,59.93924117647059
Y.DEREOTU,SEBZE,5.482549019607843,59.05068216606267,7.317009921568627
Y.MAYDONOZ,SEBZE,4.6737254901960785,47.98662858969638,6.237554039215686
Y.NANE,SEBZE,4.735816993464052,47.56758334782641,6.320421359477124
Y.REYHAN,SEBZE,13.673202614379084,107.63947309918295,18.248256209150327
Y.ROKA,SEBZE,4.6737254901960785,47.390839286925214,6.237554039215686
